Nombre,Partido,Votos,Es R
Raúl Pineda,2,15730,
Leandro Ávila,2,9071,
Luis Oliva,2,12045,
José Ruiloba,2,13566,
Kathy Ramos,2,7483,
Calixto Silgado,2,6647,
Pancho Alemán,2,6441,R
Jacky Hurtado Payne,3,2862,
Félix Moulanier,3,3255,
Machuca José,3,2483,
Jorge Simons Jr.,3,2636,
Nitzeira Watson,3,2544,
Pancho Alemán,4,3416,
Ariette Paredes,4,2142,
El Vecino,4,1776,
Carlos "DJ Cuca" Rivera,4,1814,
Orlando Aguilar,4,1724,
Cleyder Guevara,4,1912,
Christian Toto Castillo,4,1374,
Itzi Atencio,8,2710,
Roberto Nieto,8,2136,
Enrique Marin,8,1700,
Nadgee Bonilla,8,1987,
Mario Prado,8,1592,
Pablo Castilla,8,1537,
Jorge Alvarado,8,1591,
Eric Portocarrero,32,3397,
Abraham Martinez,32,2843,
Victor Córdoba,32,2383,
Carlos Melgar,32,2225,
Cesar Caicedo,32,6033,
Victor Díaz,32,2083,
Itzi Atencio,32,2146,R
Profesora Dalila Mosquera,51,877,
Fernando Samaniego,51,687,
Luis Romero,51,688,
Ricauter Sinisterra Castillo,51,646,
Raúl Patiño,51,674,
Jovanita de Roa,51,696,
Juan Antonio Tejada Pinillo,51,725,
Luis Eduardo Camacho,56,19267,
Dalia Bernal,56,15890,
Gerald Cumberbatch,56,15200,
Justiniani Miguel,56,16126,
Marcos González,56,15496,
Omar Ortega,56,17705,
Profesora Dalila Mosquera,56,14681,R
Rudelda Guzmán,52,1301,
Silka Sánchez de González,52,1608,
Javier Montenegro,52,934,
Sergio Bairnals,52,1013,
Vicente Torres Ramos,52,906,
Toto,52,851,
Manuel Landero Herrera,52,915,
Dempsil del Rosario Arroyo,53,4889,
Yahaira Perén de Toureau,53,4936,
Ricardo Antonio Córtes Bonilla,53,4694,
Roy Jiménez,53,4692,
Alcibiades Al Méndez Cabrera,53,4667,
Zulay Rodríguez Lu,57,11161,
Arnulfo González,57,6533,
José Luis Blandón,57,6114,
Liney Mena,57,6448,
Ricardo Vásquez Ambientalista,57,6090,
José Caballero,57,5986,
Ángel Ortega González,58,64280,
Eduardo Gaitán,58,68169,
Alexandra Brenes,58,65103,
Luis Duke,58,66324,
Felipe Chong,58,63912,
Francisco Garcés,58,63166,
Doctora Yarelis Rodríguez,58,64498,
Jean Marcel Chery Periodista,59,3174,
Jayro García,59,2841,
Sugey Tatiana Rueda,59,2724,
